"Subject","Block","Trial","L_choice","R_choice","L_reward","R_reward","Sub_Choose","Frame","NetWorth","RT"
"1","5","13","C","D",-36,0,"C","Loss",1024,1262
"1","5","14","C","D",-36,-40,"C","Loss",988,1730
"1","5","15","D","C",-40,-36,"C","Loss",952,2218
"1","5","16","D","A",-40,36,"A","Catch",988,1863
"1","5","17","C","D",-36,-40,"C","Loss",952,1361
"1","5","18","C","D",-36,-40,"C","Loss",916,2344
"1","5","19","D","C",-40,-36,"C","Loss",880,1551
"1","5","20","B","A",40,36,"A","Gain",916,1703
"1","5","21","C","B",-36,40,"B","Catch",956,1176
"1","5","22","D","A",-40,36,"A","Catch",992,1375
"1","5","23","B","D",40,-40,"B","Catch",1032,1413
"1","5","24","B","A",40,36,"A","Gain",1068,1706
"1","5","25","C","D",-36,-40,"C","Loss",1032,1899
"1","5","26","D","C",-40,-36,"C","Loss",996,1093
"1","5","27","B","A",40,36,"A","Gain",1032,2222
"1","5","28","A","C",36,-36,"A","Catch",1068,2018
"1","5","29","B","A",40,36,"A","Gain",1104,1616
"1","5","30","D","C",-40,-36,"D","Loss",1064,1980
"1","5","31","A","B",36,40,"B","Gain",1104,1915
"1","5","32","A","B",36,40,"A","Gain",1140,1219
"1","5","33","B","A",40,36,"A","Gain",1176,1041
"1","5","34","C","D",-36,-40,"D","Loss",1136,2004
"1","5","35","B","A",40,36,"A","Gain",1172,1938
"1","5","36","A","B",36,40,"A","Gain",1208,866
"1","5","37","B","A",40,36,"A","Gain",1244,1597
"1","5","38","D","B",-40,40,"B","Catch",1284,883
"1","5","39","D","B",-40,40,"B","Catch",1324,1421
"1","5","40","C","B",-36,40,"B","Catch",1364,1154
"1","5","41","D","C",-40,-36,"D","Loss",1324,4553
"1","5","42","A","B",36,40,"A","Gain",1360,1864
"1","5","43","D","C",0,-36,"D","Loss",1360,3651
"1","5","44","A","B",36,0,"A","Gain",1396,1623
"1","5","45","A","B",36,40,"B","Gain",1436,1331
"1","5","46","B","A",40,36,"A","Gain",1472,1548
"1","5","47","A","B",36,40,"A","Gain",1508,1099
"1","5","48","B","C",40,-36,"B","Catch",1548,1253
"1","5","49","C","D",-36,-40,"C","Loss",1512,1448
"1","5","50","C","D",-36,-40,"C","Loss",1476,1780
"1","5","51","A","B",36,40,"A","Gain",1512,1162
"1","5","52","C","A",-36,36,"A","Catch",1548,1041
"1","5","53","C","A",-36,36,"A","Catch",1584,1822
"1","5","54","B","A",40,36,"B","Gain",1624,1570
"1","5","55","D","C",-40,-36,"C","Loss",1588,1601
"1","5","56","C","D",-36,-40,"C","Loss",1552,1342
"1","5","57","A","B",36,40,"A","Gain",1588,1910
"1","5","58","D","C",-40,-36,"C","Loss",1552,1471
"1","5","59","B","A",0,36,"B","Gain",1552,1281
"1","5","60","C","D",-36,-40,"C","Loss",1516,1843
"1","6","1","A","B",36,40,"B","Gain",1556,2497
"1","6","2","D","C",-40,-36,"C","Loss",1520,2114
"1","6","3","B","A",40,36,"B","Gain",1560,1283
"1","6","4","D","C",-40,-36,"C","Loss",1524,1181
"1","6","5","D","B",-40,40,"B","Catch",1564,972
"1","6","6","C","D",-36,-40,"C","Loss",1528,2403
"1","6","7","A","B",36,40,"B","Gain",1568,2200
"1","6","8","B","A",40,36,"B","Gain",1608,870
"1","6","9","C","D",-36,-40,"C","Loss",1572,1200
"1","6","10","D","C",0,-36,"C","Loss",1536,2118
"1","6","11","C","D",-36,-40,"C","Loss",1500,878
"1","6","12","B","A",40,36,"A","Gain",1536,1561
"1","6","13","C","D",-36,-40,"D","Loss",1496,896
"1","6","14","D","C",-40,-36,"D","Loss",1456,2457
"1","6","15","A","B",36,0,"A","Gain",1492,1540
"1","6","16","D","A",-40,36,"A","Catch",1528,1005
"1","6","17","D","C",0,-36,"C","Loss",1492,1978
"1","6","18","B","A",40,36,"B","Gain",1532,1288
"1","6","19","A","B",36,40,"B","Gain",1572,979
"1","6","20","A","D",36,0,"A","Catch",1608,1297
"1","6","21","B","A",0,36,"A","Gain",1644,1530
"1","6","22","C","D",-36,-40,"C","Loss",1608,1218
"1","6","23","A","B",36,40,"B","Gain",1648,887
"1","6","24","B","A",0,36,"B","Gain",1648,1106
"1","6","25","D","C",-40,-36,"C","Loss",1612,1450
"1","6","26","A","B",36,40,"A","Gain",1648,1502
"1","6","27","B","D",40,-40,"B","Catch",1688,1191
"1","6","28","A","C",36,-36,"A","Catch",1724,1093
"1","6","29","C","D",-36,-40,"D","Loss",1684,2830
"1","6","30","D","C",-40,-36,"C","Loss",1648,875
"1","6","31","B","A",40,36,"A","Gain",1684,1365
"1","6","32","C","D",-36,-40,"C","Loss",1648,1340
"1","6","33","A","B",36,40,"A","Gain",1684,988
"1","6","34","C","D",-36,-40,"C","Loss",1648,1658
"1","6","35","A","B",36,40,"A","Gain",1684,1101
